v8-version,7,8,279,23,-node.34,0
shared-library,/usr/bin/node,0x400000,0x2895000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f69a3887000,0x7f69a3a6e000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f69a3c78000,0x7f69a3c92000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f69a3e97000,0x7f69a3eae000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f69a40af000,0x7f69a424c000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f69a444d000,0x7f69a45c6000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f69a47d6000,0x7f69a47d9000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f69a49da000,0x7f69a4a01000,0
shared-library,[vdso],0x7fff558f9000,0x7fff558fa000,0
profiler,begin,1000
tick,0x7f69a3997187,4016,0,0x0,6
tick,0x15641e0,8922,0,0x0,6
code-creation,Builtin,3,15976,0x133ea80,1634,RecordWrite
code-creation,Builtin,3,16032,0x133f100,457,EphemeronKeyBarrier
code-creation,Builtin,3,16055,0x133f2e0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,16077,0x133f320,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,16098,0x133f460,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,16120,0x133f540,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,16145,0x133f660,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,16166,0x133f780,130,CallBoundFunction
code-creation,Builtin,3,16186,0x133f820,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,16208,0x133f8a0,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,16255,0x133f920,105,Call_ReceiverIsAny
code-creation,Builtin,3,16275,0x133f9a0,890,CallProxy
code-creation,Builtin,3,16293,0x133fd20,78,CallVarargs
code-creation,Builtin,3,16310,0x133fd80,996,CallWithSpread
code-creation,Builtin,3,16328,0x1340180,990,CallWithArrayLike
code-creation,Builtin,3,16346,0x1340560,103,CallForwardVarargs
code-creation,Builtin,3,16365,0x13405e0,103,CallFunctionForwardVarargs
code-creation,Builtin,3,16386,0x1340660,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,16408,0x1340700,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,16433,0x1340820,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,16460,0x13409a0,26,ConstructFunction
code-creation,Builtin,3,16489,0x13409c0,130,ConstructBoundFunction
code-creation,Builtin,3,16506,0x1340a60,28,ConstructedNonConstructable
code-creation,Builtin,3,16523,0x1340a80,86,Construct
code-creation,Builtin,3,16538,0x1340ae0,78,ConstructVarargs
code-creation,Builtin,3,16561,0x1340b40,1020,ConstructWithSpread
code-creation,Builtin,3,16592,0x1340f40,1076,ConstructWithArrayLike
code-creation,Builtin,3,16628,0x1341380,142,ConstructForwardVarargs
code-creation,Builtin,3,16664,0x1341420,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,16700,0x13414c0,328,JSConstructStubGeneric
code-creation,Builtin,3,16735,0x1341620,244,JSBuiltinsConstructStub
code-creation,Builtin,3,16764,0x1341720,943,FastNewObject
code-creation,Builtin,3,16798,0x1341ae0,301,FastNewClosure
code-creation,Builtin,3,16837,0x1341c20,213,FastNewFunctionContextEval
code-creation,Builtin,3,16866,0x1341d00,213,FastNewFunctionContextFunction
code-creation,Builtin,3,16895,0x1341de0,258,CreateRegExpLiteral
code-creation,Builtin,3,16910,0x1341f00,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,16935,0x1342160,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,16957,0x1342620,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,16985,0x1342ce0,866,ConstructProxy
code-creation,Builtin,3,17009,0x1343060,188,JSEntry
code-creation,Builtin,3,17033,0x1343120,188,JSConstructEntry
code-creation,Builtin,3,17059,0x13431e0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,17085,0x13432a0,98,JSEntryTrampoline
code-creation,Builtin,3,17106,0x1343320,98,JSConstructEntryTrampoline
code-creation,Builtin,3,17367,0x13433a0,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,17390,0x13434e0,721,StringCharAt
code-creation,Builtin,3,17406,0x13437c0,890,StringCodePointAt
code-creation,Builtin,3,17420,0x1343b40,1433,StringFromCodePointAt
code-creation,Builtin,3,17449,0x13440e0,580,StringEqual
code-creation,Builtin,3,17463,0x1344340,288,StringGreaterThan
code-creation,Builtin,3,17478,0x1344480,288,StringGreaterThanOrEqual
code-creation,Builtin,3,17494,0x13445c0,1234,StringIndexOf
code-creation,Builtin,3,17506,0x1344aa0,288,StringLessThan
code-creation,Builtin,3,17519,0x1344be0,288,StringLessThanOrEqual
code-creation,Builtin,3,17534,0x1344d20,3376,StringSubstring
code-creation,Builtin,3,17548,0x1345a60,120,OrderedHashTableHealIndex
code-creation,Builtin,3,17565,0x1345ae0,851,InterpreterEntryTrampoline
code-creation,Builtin,3,17581,0x1345e40,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,17598,0x1345ea0,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,17617,0x1345f00,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,17636,0x1345f60,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,17653,0x1345fc0,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,17671,0x1346020,84,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,17690,0x1346080,197,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,17708,0x1346160,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,17725,0x13461c0,63,InterpreterOnStackReplacement
code-creation,Builtin,3,17741,0x1346200,1101,CompileLazy
code-creation,Builtin,3,17755,0x1346660,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,17772,0x13466c0,177,InstantiateAsmJs
code-creation,Builtin,3,17787,0x1346780,32,NotifyDeoptimized
code-creation,Builtin,3,17803,0x13467c0,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,17820,0x1346800,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,17837,0x1346840,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,17853,0x1346880,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,17870,0x13468e0,287,CallApiCallback
code-creation,Builtin,3,17885,0x1346a00,269,CallApiGetter
code-creation,Builtin,3,17900,0x1346b20,12,HandleApiCall
code-creation,Builtin,3,17914,0x1346b40,12,HandleApiCallAsFunction
code-creation,Builtin,3,17930,0x1346b60,12,HandleApiCallAsConstructor
code-creation,Builtin,3,17947,0x1346b80,92,AllocateInYoungGeneration
code-creation,Builtin,3,17963,0x1346be0,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,17981,0x1346c40,92,AllocateInOldGeneration
code-creation,Builtin,3,17997,0x1346ca0,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,18013,0x1346d00,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,18029,0x1346f00,583,GrowFastDoubleElements
code-creation,Builtin,3,18045,0x1347160,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,18062,0x1347340,453,NewArgumentsElements
code-creation,Builtin,3,18078,0x1347520,496,DebugBreakTrampoline
code-creation,Builtin,3,18093,0x1347720,141,FrameDropperTrampoline
code-creation,Builtin,3,18109,0x13477c0,45,HandleDebuggerStatement
