v8-version,7,8,279,23,-node.34,0
shared-library,/usr/bin/node,0x400000,0x2895000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f6ba9dbe000,0x7f6ba9fa5000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f6baa1af000,0x7f6baa1c9000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f6baa3ce000,0x7f6baa3e5000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f6baa5e6000,0x7f6baa783000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f6baa984000,0x7f6baaafd000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f6baad0d000,0x7f6baad10000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f6baaf11000,0x7f6baaf38000,0
shared-library,[vdso],0x7ffe31411000,0x7ffe31412000,0
profiler,begin,1000
tick,0x7f6baaa97454,8893,0,0x0,6
tick,0x10aaabc,12128,0,0x0,6
tick,0xf110eb,13135,0,0x0,6
code-creation,Builtin,3,13839,0x133ea80,1634,RecordWrite
code-creation,Builtin,3,13869,0x133f100,457,EphemeronKeyBarrier
code-creation,Builtin,3,13883,0x133f2e0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,13895,0x133f320,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,13907,0x133f460,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,13921,0x133f540,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,13936,0x133f660,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,13949,0x133f780,130,CallBoundFunction
code-creation,Builtin,3,13961,0x133f820,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,13974,0x133f8a0,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,13988,0x133f920,105,Call_ReceiverIsAny
code-creation,Builtin,3,14000,0x133f9a0,890,CallProxy
code-creation,Builtin,3,14011,0x133fd20,78,CallVarargs
code-creation,Builtin,3,14023,0x133fd80,996,CallWithSpread
code-creation,Builtin,3,14035,0x1340180,990,CallWithArrayLike
code-creation,Builtin,3,14046,0x1340560,103,CallForwardVarargs
code-creation,Builtin,3,14058,0x13405e0,103,CallFunctionForwardVarargs
code-creation,Builtin,3,14068,0x1340660,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,14081,0x1340700,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,14095,0x1340820,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,14110,0x13409a0,26,ConstructFunction
code-creation,Builtin,3,14121,0x13409c0,130,ConstructBoundFunction
code-creation,Builtin,3,14132,0x1340a60,28,ConstructedNonConstructable
code-creation,Builtin,3,14144,0x1340a80,86,Construct
code-creation,Builtin,3,14155,0x1340ae0,78,ConstructVarargs
code-creation,Builtin,3,14166,0x1340b40,1020,ConstructWithSpread
code-creation,Builtin,3,14179,0x1340f40,1076,ConstructWithArrayLike
code-creation,Builtin,3,14217,0x1341380,142,ConstructForwardVarargs
code-creation,Builtin,3,14234,0x1341420,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,14253,0x13414c0,328,JSConstructStubGeneric
code-creation,Builtin,3,14270,0x1341620,244,JSBuiltinsConstructStub
code-creation,Builtin,3,14286,0x1341720,943,FastNewObject
code-creation,Builtin,3,14301,0x1341ae0,301,FastNewClosure
code-creation,Builtin,3,14316,0x1341c20,213,FastNewFunctionContextEval
code-creation,Builtin,3,14332,0x1341d00,213,FastNewFunctionContextFunction
code-creation,Builtin,3,14349,0x1341de0,258,CreateRegExpLiteral
code-creation,Builtin,3,14366,0x1341f00,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,14382,0x1342160,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,14398,0x1342620,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,14416,0x1342ce0,866,ConstructProxy
code-creation,Builtin,3,14433,0x1343060,188,JSEntry
code-creation,Builtin,3,14449,0x1343120,188,JSConstructEntry
code-creation,Builtin,3,14464,0x13431e0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,14482,0x13432a0,98,JSEntryTrampoline
code-creation,Builtin,3,14497,0x1343320,98,JSConstructEntryTrampoline
code-creation,Builtin,3,14512,0x13433a0,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,14527,0x13434e0,721,StringCharAt
code-creation,Builtin,3,14542,0x13437c0,890,StringCodePointAt
code-creation,Builtin,3,14557,0x1343b40,1433,StringFromCodePointAt
code-creation,Builtin,3,14588,0x13440e0,580,StringEqual
code-creation,Builtin,3,14603,0x1344340,288,StringGreaterThan
code-creation,Builtin,3,14621,0x1344480,288,StringGreaterThanOrEqual
code-creation,Builtin,3,14638,0x13445c0,1234,StringIndexOf
code-creation,Builtin,3,14656,0x1344aa0,288,StringLessThan
code-creation,Builtin,3,14672,0x1344be0,288,StringLessThanOrEqual
code-creation,Builtin,3,14689,0x1344d20,3376,StringSubstring
code-creation,Builtin,3,14705,0x1345a60,120,OrderedHashTableHealIndex
code-creation,Builtin,3,14722,0x1345ae0,851,InterpreterEntryTrampoline
code-creation,Builtin,3,14744,0x1345e40,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,14760,0x1345ea0,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,14774,0x1345f00,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,14788,0x1345f60,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,14802,0x1345fc0,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,14817,0x1346020,84,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,14837,0x1346080,197,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,14855,0x1346160,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,14873,0x13461c0,63,InterpreterOnStackReplacement
code-creation,Builtin,3,14891,0x1346200,1101,CompileLazy
code-creation,Builtin,3,14908,0x1346660,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,14924,0x13466c0,177,InstantiateAsmJs
code-creation,Builtin,3,14940,0x1346780,32,NotifyDeoptimized
code-creation,Builtin,3,14956,0x13467c0,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,14972,0x1346800,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,14989,0x1346840,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,15005,0x1346880,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,15022,0x13468e0,287,CallApiCallback
code-creation,Builtin,3,15037,0x1346a00,269,CallApiGetter
code-creation,Builtin,3,15051,0x1346b20,12,HandleApiCall
code-creation,Builtin,3,15066,0x1346b40,12,HandleApiCallAsFunction
code-creation,Builtin,3,15082,0x1346b60,12,HandleApiCallAsConstructor
code-creation,Builtin,3,15102,0x1346b80,92,AllocateInYoungGeneration
code-creation,Builtin,3,15120,0x1346be0,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,15139,0x1346c40,92,AllocateInOldGeneration
code-creation,Builtin,3,15157,0x1346ca0,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,15175,0x1346d00,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,15194,0x1346f00,583,GrowFastDoubleElements
code-creation,Builtin,3,15212,0x1347160,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,15231,0x1347340,453,NewArgumentsElements
code-creation,Builtin,3,15247,0x1347520,496,DebugBreakTrampoline
code-creation,Builtin,3,15274,0x1347720,141,FrameDropperTrampoline
code-creation,Builtin,3,15290,0x13477c0,45,HandleDebuggerStatement
code-creation,Builtin,3,15307,0x1347800,282,ToObject
code-creation,Builtin,3,15323,0x1347920,104,ToBoolean
code-creation,Builtin,3,15349,0x13479a0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,15367,0x1347ac0,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,15385,0x1347be0,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,15402,0x1347cc0,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,15420,0x1347da0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,15438,0x1347e80,85,StringToNumber
code-creation,Builtin,3,15453,0x1347ee0,129,ToName
code-creation,Builtin,3,15467,0x1347f80,243,NonNumberToNumber
code-creation,Builtin,3,15482,0x1348080,259,NonNumberToNumeric
code-creation,Builtin,3,15498,0x13481a0,235,ToNumber
code-creation,Builtin,3,15513,0x13482a0,272,ToNumberConvertBigInt
code-creation,Builtin,3,15532,0x13483c0,275,ToNumeric
code-creation,Builtin,3,15548,0x13484e0,261,NumberToString
